SAMEA103918529	ERR1886304	ERX1946802	SAMEA103918529	ERS1607697	PRJEB19974	ERP022071		ERA850868	ena-RUN-The James Hutton Institute-17-03-2017-10:09:58:557-125	ena-EXPERIMENT-The James Hutton Institute-17-03-2017-10:09:58:557-125	JB_S29_Arabidopsis	ena-STUDY-The James Hutton Institute-13-03-2017-14:53:06:003-448	PAIRED	Oligo-dT	TRANSCRIPTOMIC	RNA-Seq	LIB5967	Illumina HiSeq 2000	ILLUMINA	3304534766	16359083	3702	Arabidopsis thaliana	Timepoint 3	Illumina HiSeq 2000 paired end sequencing	Time-course RNA-seq data for the cold response in Arabidopsis thaliana	Illumina HiSeq 2000 paired end sequencing	Timepoint 3	05d11b7bd19a7596203585d6f96829d5;4700b958020260febcd39d3ab648b90b	1498697337;1515812530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/004/ERR1886304/ERR1886304_2.fastq.gz
SAMEA103918530	ERR1886305	ERX1946803	SAMEA103918530	ERS1607698	PRJEB19974	ERP022071		ERA850868	ena-RUN-The James Hutton Institute-17-03-2017-10:09:58:557-126	ena-EXPERIMENT-The James Hutton Institute-17-03-2017-10:09:58:557-126	JB_S30_Arabidopsis	ena-STUDY-The James Hutton Institute-13-03-2017-14:53:06:003-448	PAIRED	Oligo-dT	TRANSCRIPTOMIC	RNA-Seq	LIB5968	Illumina HiSeq 2000	ILLUMINA	3506607688	17359444	3702	Arabidopsis thaliana	Timepoint 4	Illumina HiSeq 2000 paired end sequencing	Time-course RNA-seq data for the cold response in Arabidopsis thaliana	Illumina HiSeq 2000 paired end sequencing	Timepoint 4	c3ddbe60a302ad4a23a80450e9a357c9;c94182baaf0c53435e8229643f1a9963	1585483906;1604664031	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/005/ERR1886305/ERR1886305_2.fastq.gz
SAMEA103918531	ERR1886306	ERX1946804	SAMEA103918531	ERS1607699	PRJEB19974	ERP022071		ERA850868	ena-RUN-The James Hutton Institute-17-03-2017-10:09:58:557-127	ena-EXPERIMENT-The James Hutton Institute-17-03-2017-10:09:58:557-127	JB_S31_Arabidopsis	ena-STUDY-The James Hutton Institute-13-03-2017-14:53:06:003-448	PAIRED	Oligo-dT	TRANSCRIPTOMIC	RNA-Seq	LIB5969	Illumina HiSeq 2000	ILLUMINA	3626916262	17955031	3702	Arabidopsis thaliana	Timepoint 5	Illumina HiSeq 2000 paired end sequencing	Time-course RNA-seq data for the cold response in Arabidopsis thaliana	Illumina HiSeq 2000 paired end sequencing	Timepoint 5	669fb9bd88c5f2e5d9f929a213518821;6dae2e52a45a1a7b5b1cdfcd9a406cf8	1640313114;1659212499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/006/ERR1886306/ERR1886306_2.fastq.gz
SAMEA103918532	ERR1886307	ERX1946805	SAMEA103918532	ERS1607700	PRJEB19974	ERP022071		ERA850868	ena-RUN-The James Hutton Institute-17-03-2017-10:09:58:557-128	ena-EXPERIMENT-The James Hutton Institute-17-03-2017-10:09:58:557-128	JB_S32_Arabidopsis	ena-STUDY-The James Hutton Institute-13-03-2017-14:53:06:003-448	PAIRED	Oligo-dT	TRANSCRIPTOMIC	RNA-Seq	LIB5970	Illumina HiSeq 2000	ILLUMINA	3827652752	18948776	3702	Arabidopsis thaliana	Timepoint 6	Illumina HiSeq 2000 paired end sequencing	Time-course RNA-seq data for the cold response in Arabidopsis thaliana	Illumina HiSeq 2000 paired end sequencing	Timepoint 6	e124bb4d9dc404e10b62f8ad8f64edb0;7129742db78c760311aae0e2eadf3723	1728735888;1750003294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR188/007/ERR1886307/ERR1886307_2.fastq.gz
